"Species","Period","Mean_F"
"arrowtooth_flounder_adult","F 1991-2020",0.0162974447384245
"arrowtooth_flounder_adult","F 2011-2020",0.0201180151585491
"arrowtooth_flounder_adult","F 2016-2020",0.0182099332075487
"pacific_cod_adult","F 1991-2020",0.188535541388844
"pacific_cod_adult","F 2011-2020",0.299693269516524
"pacific_cod_adult","F 2016-2020",0.118291530855918
"sablefish_adult","F 1991-2020",0.0350728824705775
"sablefish_adult","F 2011-2020",0.0225780306910769
"sablefish_adult","F 2016-2020",0.0251693746731603
"walleye_pollock_adult","F 1991-2020",0.020718455186369
"walleye_pollock_adult","F 2011-2020",0.0336522159129459
"walleye_pollock_adult","F 2016-2020",0.0399704883624236
