"Species","Tmax","Topt","Q10"
"arrowtooth_flounder_juvenile",26,20.512,2.497
"arrowtooth_flounder_adult",26,20.512,2.497
"atka_mackerel",19.06,17.154,2.3
"flathead_sole_adult",19.06,17.154,2.3
"octopus",20,18,2.3
"pacific_cod_juvenile",21,13.7,2.41
"pacific_cod_adult",21,13.7,2.41
"pacific_ocean_perch_adult",19.06,17.154,2.3
"walleye_pollock_juvenile",15,10,2.6
"walleye_pollock_adult",15,10,2.6
"sablefish_adult",22.4,17.6,2.2
"pacific_sleeper_shark",19.99,17.991,2.3
"pacific_herring_adult",19.9,17.91,2.3
"pacific_halibut_juvenile",18,12.97,3.084
"pacific_halibut_adult",18,12.97,3.084
"squid",23.18,20.862,2.3
"pacific_capelin",19.06,17.154,2.3
"pacific_sandlance",20.63,18.567,2.3
