"Model","Num_Parameters","AICc","NLL","NLLp","Time_Min","converged","Delta_AICc"
"Base_61M02par",63,45735.9975339301,22689.7987669651,22689.7987669651,36.78,TRUE,0
"Bioen_61M02par",63,45808.0289834747,22725.8144917373,22725.8144917373,137.64,FALSE,72.0314495445637
"Base_59M03par",62,45960.5609018836,22809.7804509418,22809.7804509418,32.04,TRUE,224.563367953495
"Bioen_63par",63,46126.0062603359,22884.803130168,24149.6926745104,6.93,TRUE,390.008726405831
"Bioen_59M03par",62,46339.1662773514,22999.0831386757,22999.0831386757,30.44,TRUE,603.168743421324
"Full_63par",63,46367.3644002947,23005.4822001474,24617.5839161489,6.96,TRUE,631.366866364617
"Base_63par",63,47179.7398199209,23411.6699099605,24786.4758851637,3.5,TRUE,1443.74228599081
"Full_59M03par",62,48370.8444684871,24014.9222342435,24014.9222342435,23.13,TRUE,2634.84693455698
"PrimProd_59M03par",62,48651.7354959401,24155.36774797,24155.36774797,33.51,TRUE,2915.73796200998
"Full_61M02par",63,48862.8427796636,24253.2213898318,24253.2213898318,57.22,FALSE,3126.84524573348
"PrimProd_61M02par",63,49310.2072371128,24476.9036185564,24476.9036185564,28.35,TRUE,3574.20970318271
"PrimProd_63par",63,52053.2168949129,25848.4084474565,26566.5597230069,6.56,TRUE,6317.21936098282
"Base_NoFit",NA,71241.3399015293,35619.6493322079,NA,NA,NA,25505.3423675992
"Bioen_NoFit",NA,74115.09386144,37056.5263121633,NA,NA,NA,28379.0963275099
"PrimProd_NoFit",NA,79888.0795155801,39943.0191392334,NA,NA,NA,34152.08198165
"Full_NoFit",NA,84747.5388266121,42372.7487947494,NA,NA,NA,39011.541292682
