functional_group,abbreviation
transient_killer_whales,tkw
resident_killer_whales,rkw
offshore_killer_whales,okw
other_toothed_whales,otw
humpback_whale,hbw
other_baleen_whales,obw
dolphins_porpoises,dlp
northern_elephant_seal,nes
northern_fur_seal_adult,nfa
northern_fur_seal_juvenile,nfj
steller_sea_lion,ssl
harbor_seal,hsl
sea_otter,sot
piscivorous_surface_birds,pcs
planktivorous_surface_birds,pls
piscivorous_diving_birds,pcd
planktivorous_diving_birds,pld
salmon_returning,smr
salmon_outgoing,smo
pacific_hake,phk
pacific_herring_adult,phra
pacific_herring_juvenile,phrj
pacific_sandlance,psl
pacific_capelin,pcp
shelf_forage_fish,shf
slope_forage_fish,slf
pacific_dogfish,pdf
salmon_shark,ssh
pacific_sleeper_shark,pss
big_skate,bsk
longnose_skate,lsk
other_skates,osk
pacific_halibut_adult,phla
pacific_halibut_juvenile,phlj
arrowtooth_flounder_adult,atfa
arrowtooth_flounder_juvenile,atfj
rex_sole_adult,rsa
rex_sole_juvenile,rsj
flathead_sole_adult,fhsa
flathead_sole_juvenile,fhsj
shallow_water_flatfish,swf
deep_water_flatfish,dwf
pacific_ocean_perch_adult,popa
pacific_ocean_perch_juvenile,popj
slope_rockfish,slr
demersal_shelf_rockfish,dsr
pelagic_shelf_rockfish,psr
thornyheads,thn
sablefish_adult,sba
sablefish_juvenile,sbj
pacific_cod_adult,pca
pacific_cod_juvenile,pcj
walleye_pollock_adult,wpa
walleye_pollock_juvenile,wpj
large_sculpins,lsc
lingcod,lnc
atka_mackerel,atk
shelf_demersal_fish,shdf
slope_demersal_fish,sldm
miscellaneous_deep_sea_fish,mdsf
squid,sqd
octopus,oct
tanner_crab,tcr
king_crab,kcr
pandalid_shrimp,pns
nonpandalid_shrimp,nps
motile_epifauna,mep
benthic_zooplankton,bzp
sessile_epifauna,sep
infauna,inf
gelatinous_carnivores,gcn
other_gelatinous_zooplankton,ogz
mysids,mys
pelagic_amphipods,pam
euphausiids,eup
large_copepods,lcp
small_copepods,scp
large_microzooplankton,lmz
small_microzooplankton,smz
large_phytoplankton,lph
small_phytoplankton,sph
macroalgae,mal
benthic_microbes,bmi
discards,dis
offal,off
detritus,det
