,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (g/m^2)","Biomass (g/m^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (g/m^2)","BA rate (/year)"
1,"Water birds",3.98037505,1.00000000,0.043000001,0.043000001,0.93000001,5.50000000,0.15131700,0.16909090,,
2,Crocodylians,4.05680418,1.00000000,0.16300000,0.16300000,0.25000000,0.80000001,0.04137277,0.31250000,,
3,"Ariid catfishes",3.52866292,1.00000000,0.078199998,0.078199998,0.60699999,2.50000000,0.95117158,0.24280000,,
4,"A. guatemalensis",3.44895005,1.00000000,0.080499999,0.080499999,0.78500003,2.43600011,0.43942061,0.32224959,,
5,Jacks,3.36092901,1.00000000,0.098399997,0.098399997,0.73299998,7.48299980,0.88612098,0.09795537,,
6,Snooks,3.69551396,1.00000000,0.35290000,0.35290000,0.88300002,7.00000000,0.10502080,0.12614290,,
7,Snappers,3.63220596,1.00000000,0.025599999,0.025599999,0.37000000,5.34999990,0.61150879,0.06915888,,
8,Cichlids,2.62191010,1.00000000,0.35100001,0.35100001,1.70000005,20.0000000,0.12673999,0.08500000,,
9,"S. annulatus",3.78057289,1.00000000,0.0060000001,0.0060000001,0.83999997,7.40000010,0.02825743,0.11351350,,
10,Pleuronectiforms,3.26914310,1.00000000,0.96799999,0.96799999,1.38000000,12.1999998,0.08360963,0.11311480,,
11,Gerreids,2.93212104,1.00000000,0.30899999,0.30899999,1.26999998,11.6000004,0.35396981,0.10948280,,
12,"D. latifrons",2.72072792,1.00000000,5.08459997,5.08459997,1.12000000,14.0000000,0.03947084,0.08000000,,
13,Anchovies,3.22638702,1.00000000,2.55999994,2.55999994,1.20000005,9.25699997,0.23732220,0.12963159,,
14,Mugilids,2.00321102,1.00000000,1.18499994,1.18499994,1.09000003,4.27299976,0.34324959,0.25509009,,
15,Poecilids,2.07267404,1.00000000,1.38180006,1.38180006,4.09999990,12.5000000,0.53742909,0.32800001,,
16,Eleotrids,3.16091800,1.00000000,0.26920000,0.26920000,0.71499997,7.50000000,0.51963538,0.09533333,,
17,Gobiids,2.41314697,1.00000000,0.67699999,0.67699999,2.00000000,8.36699963,0.33626130,0.23903430,,
18,"Omnivore fishes",3.22191191,1.00000000,0.15050000,0.15050000,1.26999998,18.0000000,0.54832238,0.07055555,,
19,"Planctivore fishes",3.24365902,1.00000000,1.21519995,1.21519995,2.68400002,24.2500000,0.03611110,0.11068040,,
20,"Carnivore fishes",3.85632110,1.00000000,0.029999999,0.029999999,1.10000002,11.3999996,0.52833152,0.09649123,,
21,Litopenaeus,2.47968888,1.00000000,17.8600006,17.8600006,3.16300011,10.00000000,0.18901861,0.31630000,,
22,"Other shrimps",2.79794693,1.00000000,0.73500001,0.73500001,4.01000023,14.8599997,0.75562161,0.26985201,,
23,Macrobrachium,2.46593189,1.00000000,27.8869991,27.8869991,1.22800004,4.17199993,0.27925020,0.29434329,,
24,Callinectes,3.24002194,1.00000000,4.67999983,4.67999983,2.22799993,6.28499985,0.61162257,0.35449481,,
25,Grapsids,2.45658398,1.00000000,0.04012778,0.04012778,3.80100012,14.1599998,0.81500000,0.26843220,,
26,Insects,2.34544206,1.00000000,2.71506906,2.71506906,15.5400000,39.0000000,0.81999987,0.39846161,,
27,Bivalves,2.25238109,1.00000000,20.6800003,20.6800003,2.24099994,9.68000031,0.32049751,0.23150830,,
28,Infauna,2.35779905,1.00000000,5.36100006,5.36100006,10.9399996,23.7999992,0.96586382,0.45966390,,
29,Worms,2.07044792,1.00000000,8.97200012,8.97200012,7.86000013,23.4099998,0.98992050,0.33575389,,
30,Zooplankton,2.19047594,1.00000000,22.25424004,22.25424004,21.8999996,84.9629974,0.99299997,0.25775930,,
31,Phytoplankton,1.00000000,1.00000000,73.7949982,73.7949982,60.7999992,,0.31685430,,,
32,Detritus,1.00000000,1.00000000,2384.00000,2384.00000,,,0.24593550,,,
