,Name,"Net migration (t/km^2/year)","FlowToDet (t/km^2/year)","Net efficiency","Omnivory index"
1,Ceteaceans,,0.54172879,0.0049164202,0.25669551
2,"Grey Seals",,0.34072801,0.013135590,0.027940590
3,Seabirds,,0.13426980,0.0056818179,0.28541291
4,"Cod > 40 cm",,0.060438819,0.32051280,0.27023411
5,"Juv Cod",,0.098667227,0.34999999,0.19224700
6,"Silver hake",,0.57305461,0.21197140,0.16558599
7,"Juv Silver Hake",,4.20386600,0.23048709,0.11690180
8,Haddock,,0.40644240,0.17187500,0.17503139
9,"American plaice",,0.14626610,0.21875000,0.22719830
10,"Halibut > 65 cm",,0.0096019963,0.18750000,0.12193770
11,"Juv Halibut",,0.094664477,0.20909090,0.19661970
12,Flounders,,0.38452461,0.14351849,0.12512900
13,Skates,,0.038025908,0.13297869,0.16653560
14,Dogfish,,0.060767248,0.13124999,0.34045431
15,Redfish,,0.57386142,0.18750000,0.063879721
16,Pollock,,0.27498531,0.12750000,0.20697211
17,"Trans. Mackerel",,0.10959660,0.16477270,0.10502250
18,"Dem. Piscivores",,0.033359028,0.15125000,0.12636261
19,"Juv. Dem.Pisc.",,0.11363520,0.18750000,0.27704749
20,"Large Demersals",,0.019136280,0.18750000,0.27473310
21,"Juv LDFs",,0.10053520,0.18750000,0.12429830
22,"Small Demersals",,1.04305506,0.19028100,0.25515270
23,Capelin,,4.92352295,0.18750000,0.087918513
24,Sandlance,,11.0830297,0.19041771,0.096493602
25,"Trans. Pels",,0.018955780,0.15000001,1.24975300
26,"Small Pelagics",,11.0121803,0.12717390,0.052008189
27,"Small mesopels",,0.45230460,0.34999999,0.16932090
28,Squid,,0.48598000,0.18750000,0.63211793
29,"Large Crabs",,0.078905709,0.16666670,0.17103210
30,"Small Crabs",,1.93506598,0.25000000,0.13224080
31,Shrimp,,31.8250504,0.18805310,0.32739019
32,Echinoderms,,122.187500,0.11194030,
33,Polychaetes,,78.9856110,0.089928061,
34,"Bivalve Mollusc",,129.235794,0.11250000,
35,OBI,,14.6355600,0.25000000,
36,LZP,,140.103699,0.19487180,0.26173469
37,SZP,,262.237396,0.37500000,
38,Phytoplankton,,556.133911,,
39,Detritus,,,,0.38977671
