,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (weight weight (g/m2))","Biomass (weight weight (g/m2))","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (weight weight (g/m2))","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,22.9817009,22.9817009,,225.718002,,0.35537609,,,
2,"Benthic Algae",1.00000000,1.00000000,30.7950001,30.7950001,,17.0100002,,0.26964590,,,
3,Zooplankton,2.00000000,1.00000000,7.12481880,7.12481880,,78.3180008,215.000000,0.49831691,0.36426979,,
4,"Gelatinous Zooplankton",3.04886508,1.00000000,42.3568993,42.3568993,,2.00000000,5.59999990,0.07167968,0.35714290,,
5,"Deposit Feeding Benthos",2.05923796,1.00000000,70.1250000,70.1250000,,4.57999992,24.3600006,0.97751349,0.18801311,,
6,"Suspension Feeding Benthos",2.19000006,1.00000000,26.7600002,26.7600002,,4.65000010,12.8119497,0.35176021,0.36294240,,
7,"Cultured Shellfish",2.19000006,1.00000000,0.013500000,0.013500000,,0.14500000,23.1482906,0.00000000,0.00626396,,
8,"Carnivorous Benthos",2.69722509,1.00000000,15.9056997,15.9056997,,0.83880001,8.38560009,0.94138032,0.10002860,,
,squid,,,,,,,,,,,
9,"Sm Pelagic Invert Predators",3.31395006,1.00000000,0.46130711,0.46130711,3.94980001,,23.6475201,0.99885470,0.16702810,,
10,"Lg PIP >12cm",3.86957908,1.00000000,0.64340001,0.64340001,5.36399984,,12.5000000,0.99289411,0.42911991,,
11,"Planktivorous Fish",3.08595610,1.00000000,12.3036003,12.3036003,,2.37599993,10.8769999,0.99703258,0.21844260,,
12,"Benthivorous Fish",3.18018794,1.00000000,9.22490025,9.22490025,,0.87768722,4.52699995,0.79977179,0.19387829,,
13,"Piscivorous Fish",4.16588020,1.00000000,2.08130002,2.08130002,,1.49414802,4.63520002,0.98790812,0.32234809,,
14,Seabirds,4.06700706,1.00000000,0.042599998,0.042599998,,0.14108001,7.75000000,0.82400048,0.01820387,,
15,Detritus,1.00000000,1.00000000,3.86599994,3.86599994,,,,0.26161510,,,
